"","county","code","year_opened","square_footage"
"1","25027",NA,2023,644000
"2","25009","BOS3",2021,855000
"3","02722","BOS7",2016,1015700
"4","09003","BDL2",2016,1059200
"5","09007","BDL6",2020,403000
"6","09009","BDL3",2019,855000
"7","34023","LGA6/EWR9",2016,1064500
"8","34003","EWR8/MMU9",2017,617000
"9","34005","ACY2",2019,101570
"10","34033","TEB4",2021,1250000
"11","34015","TEB3",2017,118120
"12","34021","EWR1/EWR4",2014,1039500
"13","34035","XUSQ",2018,510500
"14","36085","JFK8",2018,855000
"15","36083","ALB1",2020,101570
"16","36071","SWF1",2021,101090
"17","36067","SYR1",2022,820000
"18","36055",NA,2022,640000
"19","42003","PIT2",2020,1e+06
"20","42041","PHL4",2010,558700
"21","42133","PHL5",2010,705000
"22","42077","ABE1/ABE2",2010,615000
"23","42095","ABE4",2016,1106400
"24","42069","AVP2/AVP3/HPH9",2010,1250000
"25","42011","XUSG",2014,413800
"26","10003","PHL1",1997,202000
"27","51107","BWI1",2018,809000
"28","24025","XUSP/HBA1",2018,656900
"29","24005","DCA1",2018,855000
"30","24510","BWI2",2015,101760
"31","24043","HGR2/HBA3",2021,1004200
"32","51069","BWI4",2018,1061000
"33","51087",NA,2022,650000
"34","51053","RIC1",2012,110000
"35","51041","RIC2",2012,120000
"36","37067","GSO1",2020,1006000
"37","37183","RDU1",2020,640000
"38","37025","CLT3",2018,1e+05
"39","37119","CLT4",2019,855000
"40","37051",NA,2022,1e+05
"41","45063","CAE1",2011,1250000
"42","45083","GSP1",2012,1016100
"43","45091","XUSU",2018,507500
"44","13089","ATL2",2020,650000
"45","13077","CSG1",2020,1002200
"46","13121","HGA6",2021,1150000
"47","13157","MGE1/MGE7",2016,613000
"48","13073","AGS1",2021,450000
"49","13021","SAV3",2019,1016000
"50","12031","JAX2",2017,875600
"51","12073",NA,2022,630000
"52","12127","MCO2",2020,1e+06
"53","12095","XUSF",2014,180000
"54","12086","MIA1",2019,855000
"55","12099","PBI2/HPB2",2021,1e+06
"56","12057","TPA1",2014,1017600
"57","12105","TPA2/LAL1",2014,1e+06
"58","12111",NA,2022,1100000
"59","01073","BHM1",2020,855000
"60","01083","HSV1",2021,1e+06
"61","47125",NA,2022,110000
"62","47189","BNA2",2013,1200000
"63","47149","BNA3",2012,1e+05
"64","47011","CHA2",2011,1016100
"65","47009",NA,2022,634800
"66","47157","MEM4",2020,855000
"67","28093",NA,2021,1e+05
"68","28033","MEM3/PIL1",2020,860900
"69","28089","JAN1",2022,7e+05
"70","21029","SDF4",2006,823000
"71","21111","SDF2",2005,125000
"72","21067","LEX2",2006,380000
"73","21015","CVG2",2005,543000
"74","21217","SDF1",1999,770000
"75","39089","CMH1",2016,855000
"76","39049","CMH2",2016,1e+06
"77","39035","CLE1",2018,855000
"78","39151",NA,2022,1e+06
"79","39017","CMH3",2019,994000
"80","39113","DAY1",2022,630000
"81","18011","IND1",2008,110000
"82","18063","IND2/IND3",2008,947300
"83","18081","MQJ2/HIN2",2020,530000
"84","18097","IND7",2016,695300
"85","18039","EKI1",2023,8e+05
"86","18003",NA,2022,629200
"87","18019","SDF8",2012,1002000
"88","26163","DET1",2017,100900
"89","26099","DET2",2018,1e+06
"90","26045",NA,2022,1e+06
"91","26081","GRR1",2020,855000
"92","19153","DSM5",2020,645000
"93","19163",NA,2022,629200
"94","55059","MKE1",2015,1e+06
"95","55079","MKE2",2020,669000
"96","55105","JVL1",2020,1e+05
"97","55009",NA,2023,635000
"98","27037","HMS9",2021,350000
